Name,Year,Group,Status,"Birth Date",Gender,"Undergraduate Major","Graduate Major","Military Rank","Military Branch","Space Flights","Space Flight (hr)","Space Walks","Space Walks (hr)",Missions,"Death Date","Death Mission",Birth_city,Birth_state,Birth_country,Ugrad_school,Grad_school
"Charles M. Duke Jr. ",1966,5,Retired,"2035-10-03 00:00:00",Male,"Naval Sciences",Aeronautics,"Brigadier General","US Air Force (Retired)",1,265,3,20,"Apollo 16",NULL,NULL,Charlotte,NC,USA,"US Naval Academy",MIT
"Bonnie J. Dunbar",1980,9,Retired,"2049-03-03 00:00:00",Female,"Ceramic Engineering","Ceramic Engineering; Biomedical Engineering",Non-Military,Non-military,5,1207,0,0,"STS 61-A (Challenger), STS-32 (Columbia), STS-50 (Columbia), STS-71 (Atlantis), STS-89 (Endeavor)",NULL,NULL,Sunnyside,WA,USA,"University of Washington","University of Houston"
"Samuel T. Durrance",NULL,NULL,Retired,"2043-09-17 00:00:00",Male,Physics,"Physics; Astrogeophysics",Non-Military,Non-military,2,614,0,0,"STS-35 (Columbia), STS-67 (Endeavor)",NULL,NULL,Tallahassee,FL,USA,"California State University","University of Colorado"
"James P. Dutton Jr. ",2004,19,Management,"2068-11-20 00:00:00",Male,"Astronautical Engineering","Aeronautics & Astronautics",Colonel,"US Air Force",1,362,0,0,"STS-131 (Discovery)",NULL,NULL,Eugene,OR,USA,"US Air Force Academy","University of Washington"
"Joe F. Edwards Jr. ",1995,15,Retired,"2058-02-03 00:00:00",Male,"Aerospace Engineering","Aviation Systems",Commander,"US Navy (Retired)",1,211,0,0,"STS-89 (Endeavor)",NULL,NULL,Richmond,VA,USA,"US Naval Academy","University of Tennessee-Knoxville"
"Donn F. Eisele",1963,3,Deceased,"2030-05-23 00:00:00",Male,Astronautics,Astronautics,Colonel,"US Air Force (Retired)",1,260,0,0,"Apollo 7",12/2/87,NULL,Columbus,OH,USA,"US Naval Academy","US Air Force Institute of Technology"
"Anthony W. England",1967,6,Retired,"2042-05-15 00:00:00",Male,Geology,"Geology; Geophysics",Non-Military,Non-military,1,190,0,0,"STS 51-F (Challenger)",NULL,NULL,Indianapolis,IN,USA,MIT,
"Joe H. Engle",1966,5,Retired,"2032-08-26 00:00:00",Male,"Aeronautical Engineering",NULL,"Major General","US Air Force (Retired)",2,224,0,0,"STS-2 (Columbia), STS 51-I (Discovery)",NULL,NULL,Dickinson,KS,USA,"University of Kansas",
"Jeanette J. Epps",2009,20,Active,"1970-11-03 00:00:00",Female,Physics,"Aerospace Engineering",Non-Military,Non-military,0,0,0,0,"No missions",NULL,NULL,Syracuse,NY,USA,"LeMoyne College","University of Maryland"
"Ronald E. Evans Jr. ",1966,5,Deceased,"2033-11-10 00:00:00",Male,"Electrical Engineering","Aeronautical Engineering",Captain,"US Navy (Retired)",1,301,1,1,"Apollo 17",4/6/90,NULL,"St. Francis",KS,USA,"University of Kansas","US Naval Postgraduate School"
"John M. Fabian",1978,8,Retired,"2039-01-28 00:00:00",Male,"Mechanical Engineering","Aerospace Engineering; Aeronautics & Astronautics",Colonel,"US Air Force (Retired)",2,316,0,0,"STS-7 (Challenger), STS 51-G (Discovery)",NULL,NULL,Goosecreek,TX,USA,"Washington State University","US Air Force Institute of Technology; University of Washington"
"Christopher J. Ferguson",1998,17,Retired,"2061-09-01 00:00:00",Male,"Mechanical Engineering","Aeronautical Engineering",Captain,"US Navy (Retired)",3,970,0,0,"STS-115 (Atlantis), STS-126 (Endeavor), STS-135 (Atlantis)",NULL,NULL,Philadelphia,PA,USA,"Drexel University","US Naval Postgraduate School"
"Martin J. Fettman",NULL,NULL,Retired,"2056-12-31 00:00:00",Male,"Animal Nutrition",Physiology,Non-Military,Non-military,1,336,0,0,"STS-58 (Columbia)",NULL,NULL,Brooklyn,NY,USA,"Cornell University","Colorado State University"
"Andrew J. Feustel",2000,18,Active,"2065-08-25 00:00:00",Male,"Solid Earth Sciences","Geophysics; Seismology",Non-Military,Non-military,2,687,6,42,"STS-125 (Atlantis), STS-134 (Endeavor)",NULL,NULL,Lancaster,PA,USA,"Purdue University","Queen’s University-Canada"
"E. Michael Fincke",1996,16,Active,"2067-03-14 00:00:00",Male,"Aeronautics & Astronautics; Earth; Atmospheric & Planetary Sciences","Aeronautics & Astronautics; Physical Sciences",Colonel,"US Air Force",3,9159,9,48,"ISS-09 (Soyuz), ISS-18 (Soyuz), STS-134 (Endeavor)",NULL,NULL,Pittsburgh,PA,USA,MIT,"Stanford University; University of Houston-Clear Lake"
"Jack D. Fischer",2009,20,Active,"1974-01-23 00:00:00",Male,"Astronautical Engineering","Aeronautics & Astronautics",Non-Military,Non-military,0,0,0,0,"No missions",NULL,NULL,Louisville,CO,USA,"US Air Force Academy",MIT
"Anna L. Fisher",1978,8,Management,"2049-08-24 00:00:00",Female,Chemistry,"Chemistry; Medicine",Non-Military,Non-military,1,191,0,0,"STS 51-A (Discovery)",NULL,NULL,"New York",NY,USA,"University of California-Los Angeles",
"William F. Fisher",1980,9,Retired,"2046-04-01 00:00:00",Male,NULL,"Engineering; Medicine",Non-Military,Non-military,1,170,2,12,"STS 51-I (Discovery)",NULL,NULL,Dallas,TX,USA,"Stanford University","University of Houston; University of Florida"
"C. Michael Foale",1987,12,Active,"2057-01-06 00:00:00",Male,Physics,"Laboratory Astrophysics",Non-Military,Non-military,6,8970,4,22,"STS-45 (Atlantis), STS-56 (Discovery), STS-63 (Discovery), STS-84,86 (Atlantis), STS-103 (Discovery), ISS-08 (Soyuz)",NULL,NULL,Louth,,England,"Cambridge University",
"Kevin A. Ford",2000,18,Active,"2060-07-07 00:00:00",Male,"Aerospace Engineering","International Relations; Aerospace Engineering; Astronautical Engineering",Colonel,"US Air Force (Retired)",2,3781,0,0,"STS-128 (Discovery), ISS-33,34 (Soyuz)",NULL,NULL,Portland,IN,USA,"University of Notre Dame","Troy State University; University of Florida; Air Force Institute of Technology"
"Michael J. Foreman",1998,17,Management,"2057-03-29 00:00:00",Male,"Aerospace Engineering","Aeronautical Engineering",Captain,"US Navy (Retired)",2,637,5,32,"STS-123 (Endeavor), STS-129 (Atlantis)",NULL,NULL,Columbus,OH,USA,"US Naval Academy","US Naval Postgraduate School"
"Patrick G. Forrester",1996,16,Management,"2057-03-31 00:00:00",Male,"Applied Science & Engineering","Mechanical & Aerospace Engineering",Colonel,"US Army (Retired)",3,950,4,25,"STS-105 (Discovery), STS-117 (Atlantis), STS-128 (Discovery)",NULL,NULL,"El Paso",TX,USA,"US Military Academy","University of Virginia"
"Michael E. Fossum",1998,17,Active,"2057-12-19 00:00:00",Male,"Mechanical Engineering","Systems Engineering; Physical Science (Space Science)",Non-Military,"US Air Force Reserves (Retired)",3,4651,7,48,"STS-121 (Discovery), STS-124 (Discovery), ISS-28,29 (Soyuz)",NULL,NULL,"Sioux Falls",SD,USA,"Texas A&M University","Air Force Institute of Technology; University of Houston-Clear Lake"
"Theodore C. Freeman",1963,3,Deceased,"2030-02-18 00:00:00",Male,NULL,"Aeronautical Engineering",Captain,"US Air Force",0,0,0,0,"No missions",10/31/64,NULL,Haversford,PA,USA,"US Naval Academy","University of Michigan"
"Stephen N. Frick",1996,16,Management,"2061-09-30 00:00:00",Male,"Aerospace Engineering","Aeronautical Engineering",Captain,"US Navy (Retired)",2,566,0,0,"STS-110 (Atlantis), STS-122 (Atlantis)",NULL,NULL,Pittsburgh,PA,USA,"US Naval Academy","US Naval Postgraduate School"
"C. Gordon Fullerton",1969,7,Retired,"2036-10-11 00:00:00",Male,"Mechanical Engineering","Mechanical Engineering",Colonel,"US Air Force (Retired)",2,382,0,0,"STS-3 (Columbia), STS 51-F (Challenger)",NULL,NULL,Rochester,NY,USA,"California Institute of Technology",
"F. Andrew Gaffney",NULL,NULL,Retired,"2046-06-09 00:00:00",Male,Psychology,Medicine,Non-Military,Non-military,1,218,0,0,"STS-40 (Columbia)",NULL,NULL,Carlsbad,NM,USA,"University of California-Berkeley","University of New Mexico"
"Ronald J. Garan Jr. ",2000,18,Management,"2061-10-20 00:00:00",Male,"Business Economics","Aeronautics; Aerospace Engineering",Colonel,"US Air Force (Retired)",2,4271,4,27,"STS-124 (Discovery), ISS-27,28 (Soyuz)",NULL,NULL,Yonkers,NY,USA,"State University of New York","Embry-Riddle Aeronautical University; University of Florida"
"Dale A. Gardner",1978,8,Retired,"2048-11-08 00:00:00",Male,"Engineering Physics",NULL,Captain,"US Navy (Retired)",2,336,2,12,"STS-8 (Challenger), STS 51-A (Discovery)",NULL,NULL,Fairmont,MN,USA,"University of Illinois",
"Guy S. Gardner",1980,9,Retired,"2048-01-06 00:00:00",Male,"Engineering Sciences; Astronautics & Mathematics",Astronautics,Colonel,"US Air Force (Retired)",2,320,0,0,"STS-27 (Atlantis), STS-35 (Columbia)",NULL,NULL,"Alta Vista",VA,USA,"US Air Force Academy","Purdue University"
"Jake Garn",NULL,NULL,Retired,"2032-10-12 00:00:00",Male,"Business Finance",NULL,Non-Military,Non-military,1,167,0,0,"STS 51-D (Discovery)",NULL,NULL,"Richfield. UT",,USA,"University of Utah",
"Owen K. Garriott",1965,4,Retired,"2030-11-22 00:00:00",Male,"Electrical Engineering","Electrical Engineering",Non-Military,Non-military,2,1674,3,14,"Skylab 3, STS-9 (Columbia)",NULL,NULL,Enid,OK,USA,"University of Oklahoma","Stanford University"
"Charles D. Gemar",1985,11,Retired,"2055-08-04 00:00:00",Male,Engineering,NULL,"Lieutenant Colonel","US Army",3,581,0,0,"STS-38 (Atlantis), STS-48 (Discovery), STS-62 (Columbia)",NULL,NULL,Yanktown,SD,USA,"US Military Academy",
"Michael L. Gernhardt",1992,14,Management,"2056-05-04 00:00:00",Male,Physics,Bioengineering,Non-Military,Non-military,4,1039,4,23,"STS-69 (Endeavor), STS-83 (Columbia), STS-94 (Columbia), STS-104 (Atlantis)",NULL,NULL,Mansfield,OH,USA,"Vanderbilt University","University of Pennsylvania"
"Edward G. Gibson",1965,4,Retired,"2036-11-08 00:00:00",Male,Engineering,Engineering,Non-Military,Non-military,1,2017,3,15,"Skylab 4",NULL,NULL,Buffalo,NY,USA,"University of Rochester","California Institute of Technology"
"Robert L. Gibson",1978,8,Retired,"2046-10-30 00:00:00",Male,"Aeronautical Engineering",NULL,Captain,"US Navy (Retired)",5,868,0,0,"STS 41-B (Challenger), STS 61-C (Columbia), STS-27 (Atlantis), STS-47 (Endeavor), STS-71 (Atlantis)",NULL,NULL,Cooperstown,NY,USA,"California Polytechnic Institute",
"Edward G. Givens Jr. ",1966,5,Deceased,"2030-01-05 00:00:00",Male,"Naval Sciences",NULL,Major,"US Air Force",0,0,0,0,"No missions",6/6/67,NULL,Quanah,TX,USA,"US Naval Academy",
"John H. Glenn Jr. ",1959,1,Retired,"2021-07-18 00:00:00",Male,Engineering,NULL,Colonel,"US Marine Corps (Retired)",2,218,0,0,"Mercury 6, STS-95 (Discovery)",NULL,NULL,Cambridge,OH,USA,"Muskingum College",
"Linda M. Godwin",1985,11,Retired,"2052-07-02 00:00:00",Female,"Mathematics & Physics",Physics,Non-Military,Non-military,4,918,2,10,"STS-37 (Atlantis), STS-59 (Endeavor), STS-76 (Atlantis), STS-108 (Endeavor)",NULL,NULL,"Cape Girardeau",MO,USA,"Southeast Missouri State","University of Missouri"
"Michael T. Good",2000,18,Management,"2062-10-13 00:00:00",Male,"Aerospace Engineering","Aerospace Engineering",Colonel,"US Air Force (Retired)",2,592,4,30,"STS-125 (Atlantis), STS-132 (Atlantis)",NULL,NULL,Parma,OH,USA,"University of Notre Dame",
"Richard F. Gordon Jr. ",1963,3,Retired,"2029-10-05 00:00:00",Male,Chemistry,NULL,Captain,"US Navy (Retired)",2,315,1,0.5,"Gemini 11, Apollo 12",NULL,NULL,Seattle,WA,USA,"University of Washington",
"Dominic L. Gorie",1995,15,Retired,"2057-05-02 00:00:00",Male,"Ocean Engineering","Aviation Systems",Captain,"US Navy (Retired)",4,1167,0,0,"STS-91 (Discovery), STS-99 (Endeavor), STS-123 (Endeavor), STS-108 (Endeavor)",NULL,NULL,"Lake Charles",LA,USA,"US Naval Academy","University of Tennessee"
"Ronald J. Grabe",1980,9,Retired,"2045-06-13 00:00:00",Male,"Engineering Science",NULL,Colonel,"US Air Force (Retired)",4,627,0,0,"STS 51-J (Atlantis), STS-30 (Atlantis), STS-42 (Discovery), STS-57 (Endeavor)",NULL,NULL,"New York",NY,USA,"US Air Force Academy",
"Duane E. Graveline",1965,4,Retired,"2031-03-02 00:00:00",Male,NULL,"Public Health; Medicine",Non-Military,Non-military,0,0,0,0,"No missions",NULL,NULL,Newport,VT,USA,"University of Vermont","Johns Hopkins University"
"Frederick D. Gregory",1978,8,Retired,"2041-01-07 00:00:00",Male,NULL,"Information Systems",Colonel,"US Air Force (Retired)",3,455,0,0,"STS 51-B (Challenger), STS-33 (Discovery), STS-44 (Atlantis)",NULL,NULL,Washington,DC,USA,"US Air Force Academy","George Washington University"
"William G. Gregory",1990,13,Retired,"2057-05-14 00:00:00",Male,"Engineering Science","Engineering Mechanics; Business Management","Lieutenant Colonel","US Air Force",1,399,0,0,"STS-67 (Endeavor)",NULL,NULL,Lockport,NY,USA,"US Air Force Academy","Columbia University; Troy State University"
"S. David Griggs",1978,8,Deceased,"2039-09-07 00:00:00",Male,NULL,"Business Administration",Non-Military,Non-military,1,167,1,3,"STS 51-D (Discovery)",6/17/89,NULL,Portland,OR,USA,"US Naval Academy","George Washington University"
"Virgil I. Grissom",1959,1,Deceased,"2026-04-03 00:00:00",Male,"Mechanical Engineering",NULL,"Lieutenant Colonel","US Air Force",2,5,0,0,"Mercury 4, Gemini 3, Apollo 1",1/27/67,"Apollo 1",Mitchell,IN,USA,"Purdue University",
"John M. Grunsfeld",1992,14,Management,"2058-10-10 00:00:00",Male,Physics,Physics,Non-Military,Non-military,5,1407,8,58,"STS-67 (Endeavor), STS-81 (Atlantis), STS-103 (Discovery), STS-125 (Atlantis), STS-109 (Columbia)",NULL,NULL,Chicago,IL,USA,MIT,"University of Chicago"
"Sidney M. Gutierrez",1984,10,Retired,"2051-06-27 00:00:00",Male,"Aeronautical Engineering","Business Management",Colonel,"US Air Force (Retired)",2,488,0,0,"STS-40 (Columbia), STS-59 (Endeavor)",NULL,NULL,Albuquerque,NM,USA,"US Air Force Academy","Webster College"
"Fred W. Haise Jr. ",1966,5,Retired,"2033-11-14 00:00:00",Male,"Aeronautical Engineering",NULL,Non-Military,Non-military,1,142,0,0,"Apollo 13",NULL,NULL,Biloxi,MS,USA,"University of Oklahoma",
"James D. Halsell Jr. ",1990,13,Retired,"2056-09-29 00:00:00",Male,Engineering,"Business Management; Space Operations",Colonel,"US Air Force (Retired)",5,1258,0,0,"STS-65 (Columbia), STS-74 (Atlantis), STS-83 (Columbia), STS-94 (Columbia), STS-101 (Atlantis)",NULL,NULL,Monroe,LA,USA,"US Air Force Academy","Troy State University; US Air Force Institute of Technology"
"Kenneth T. Ham",1998,17,Retired,"2064-12-12 00:00:00",Male,"Aerospace Engineering","Aeronautical Engineering",Captain,"US Navy",2,612,0,0,"STS-124 (Discovery), STS-132 (Atlantis)",NULL,NULL,Plainfield,NJ,USA,"US Naval Academy","US Naval Postgraduate School"
"L. Blaine Hammond Jr. ",1984,10,Retired,"2052-01-16 00:00:00",Male,"Engineering Science","Engineering Science",Colonel,"US Air Force (Retired)",2,462,0,0,"STS-39 (Discovery), STS-64 (Discovery)",NULL,NULL,Savannah,GA,USA,"US Air Force Academy","Georgia Institute of Technology"
"Gregory J. Harbaugh",1987,12,Retired,"2056-04-15 00:00:00",Male,"Aeronautical & Astronautical Engineering","Physical Science",Non-Military,Non-military,4,817,3,18,"STS-39 (Discovery), STS-54 (Endeavor), STS-71 (Atlantis), STS-82 (Discovery)",NULL,NULL,Cleveland,OH,USA,"Purdue University","University of Houston-Clear Lake"
"Bernard A. Harris Jr. ",1990,13,Retired,"2056-06-26 00:00:00",Male,Biology,Medicine,Non-Military,Non-military,2,438,1,5,"STS-55 (Columbia), STS-63 (Discovery)",NULL,NULL,Temple,TX,USA,"University of Houston","Texas Tech University"
"Terry J. Hart",1978,8,Retired,"2046-10-27 00:00:00",Male,"Mechanical Engineering","Mechanical Engineering; Electrical Engineering",Non-Military,Non-military,1,167,0,0,"STS 41-C (Challenger)",NULL,NULL,Pittsburgh,PA,USA,"Lehigh University","MIT; Rutgers University"
"Henry W. Hartsfield Jr. ",1969,7,Retired,"2033-11-21 00:00:00",Male,Physics,"Engineering Science",Colonel,"US Air Force (Retired)",3,482,0,0,"STS-4 (Columbia), STS 41-D (Discovery), STS 61-A (Challenger)",NULL,NULL,Birmingham,AL,USA,"Auburn University","University of Tennessee"
"Frederick H. Hauck",1978,8,Retired,"2041-04-11 00:00:00",Male,Physics,"Nuclear Engineering",Captain,"US Navy (Retired)",3,435,0,0,"STS-7 (Challenger), STS 51-A (Discovery), STS-26 (Discovery)",NULL,NULL,"Long Beach",CA,USA,"Tufts University",MIT
"Steven A. Hawley",1978,8,Retired,"2051-12-12 00:00:00",Male,"Physics & Astronomy","Astronomy & Astrophysics",Non-Military,Non-military,5,770,0,0,"STS 41-D (Discovery), STS 61-C (Columbia), STS-31 (Discovery), STS-82 (Discovery), STS-93 (Columbia)",NULL,NULL,Ottawa,KS,USA,"University of Kansas","University of California"
"Susan J. Helms",1990,13,Retired,"2058-02-26 00:00:00",Female,"Aeronautical Engineering","Aeronautics & Astronautics","Lieutenant General","US Air Force",5,5063,1,9,"STS-54 (Endeavor), STS-64 (Discovery), STS-78 (Columbia), STS-101 (Atlantis), STS-102,105 (Discovery)",NULL,NULL,Charlotte,NC,USA,"US Air Force Academy","Stanford University"
"Karl G. Henize",1967,6,Deceased,"2026-10-17 00:00:00",Male,Mathematics,Astronomy,Non-Military,Non-military,1,190,0,0,"STS 51-F (Challenger)",10/5/93,NULL,Cincinnati,OH,USA,"University of Virginia","University of Michigan"
"Thomas J. Hennen",NULL,NULL,Retired,"2052-08-17 00:00:00",Male,NULL,NULL,"Chief Warrant Officer","US Army (Retired)",1,166,0,0,"STS-44 (Atlantis)",NULL,NULL,Albany,GA,USA,,
"Terence T. Henricks",1985,11,Retired,"2052-07-05 00:00:00",Male,"Civil Engineering","Public Administration",Colonel,"US Air Force (Retired)",4,1026,0,0,"STS-44 (Atlantis), STS-55 (Columbia), STS-70 (Discovery), STS-78 (Columbia)",NULL,NULL,Bryan,OH,USA,"US Air Force Academy","Golden Gate University"
"Jose M. Hernandez",2004,19,Retired,"2062-08-07 00:00:00",Male,"Electrical Engineering","Electrical & Computer Engineering",Non-Military,Non-military,1,332,0,0,"STS-128 (Discovery)",NULL,NULL,"French Camp",CA,USA,"University of the Pacific","University of California-Santa Barbara"
"John B. Herrington",1996,16,Retired,"2058-09-14 00:00:00",Male,"Applied Mathematics","Aeronautical Engineering",Commander,"US Navy (Retired)",1,330,3,20,"STS-113 (Endeavor)",NULL,NULL,Wetumka,OK,USA,"University of Colorado","US Naval Postgraduate School"
"Richard J. Hieb",1985,11,Retired,"2055-09-21 00:00:00",Male,"Mathematics & Physics","Aerospace Engineering",Non-Military,Non-military,3,766,3,18,"STS-39 (Discovery), STS-49 (Endeavor), STS-65 (Columbia)",NULL,NULL,Jamestown,ND,USA,"Northwest Nazarene College","University of Colorado"
"Joan E. Higginbotham",1996,16,Retired,"2064-08-03 00:00:00",Female,"Electrical Engineering","Business Management; Space Systems",Non-Military,Non-military,1,308,0,0,"STS-116 (Discovery)",NULL,NULL,Chicago,IL,USA,"Southern Illinois University-Carbondale","Florida Institute of Technology"
"David C. Hilmers",1980,9,Retired,"2050-01-28 00:00:00",Male,Mathematics,"Electrical Engineering",Colonel,"US Marine Corps (Retired)",4,494,0,0,"ST 51-J (Atlantis), STS-26 (Discovery), STS-36 (Atlantis), STS-42 (Discovery)",NULL,NULL,Clinton,IA,USA,"Cornell University","US Naval Postgraduate School"
"Kathryn P. Hire",1995,15,Management,"2059-08-26 00:00:00",Female,"Engineering Management","Space Technology",Captain,"US Naval Reserves",2,711,0,0,"STS-90 (Columbia), STS-130 (Endeavor)",NULL,NULL,Mobile,AL,USA,"US Naval Academy","Florida State Institute of Technology"
"Charles O. Hobaugh",1996,16,Retired,"2061-11-05 00:00:00",Male,"Aerospace Engineering",NULL,Colonel,"US Marine Corps (Retired)",3,873,0,0,"STS-104 (Atlantis), STS-118 (Endeavor), ST-129 (Atlantis)",NULL,NULL,"Bar Harbor",ME,USA,"US Naval Academy",
"Jeffrey A. Hoffman",1978,8,Retired,"2044-11-02 00:00:00",Male,Astronomy,"Materials Science; Astrophysics",Non-Military,Non-military,5,1211,4,25,"STS 51-D (Discovery), STS-35 (Columbia), STS-46 (Atlantis), STS-61 (Endeavor), STS-75 (Columbia)",NULL,NULL,Brooklyn,NY,USA,"Amherst College","Rice University; Harvard University"
"Donald L. Holmquest",1967,6,Retired,"2039-04-07 00:00:00",Male,"Electrical Engineering","Physiology; Medicine; Law",Non-Military,Non-military,0,0,0,0,"No missions",NULL,NULL,Dallas,TX,USA,"Southern Methodist University","Baylor University; University of Houston"
"Michael S. Hopkins",2009,20,Active,"2068-12-28 00:00:00",Male,"Aerospace Engineering","Aerospace Engineering",Colonel,"US Air Force",1,3990,2,13,"ISS-37,38 (Soyuz)",NULL,NULL,Lebanon,MO,USA,"University of Illinois","Stanford University"
"Scott J. Horowitz",1992,14,Retired,"2057-03-24 00:00:00",Male,Engineering,"Aerospace Engineering",Colonel,"US Air Force (Retired)",4,1137,0,0,"STS-75 (Columbia), STS-82 (Discovery), STS-101 (Atlantis), STS-105 (Discovery)",NULL,NULL,Philadelphia,PA,USA,"California State University-Northridge","Georgia Institute of Technology"
"Millie Hughes-Fulford",NULL,NULL,Retired,"2045-12-21 00:00:00",Female,"Chemistry & Biology",NULL,Non-Military,Non-military,1,218,0,0,"STS-40 (Columbia)",NULL,NULL,"Mineral Wells",TX,USA,"Tarleton State University","Texas Woman’s University"
"Douglas G. Hurley",2000,18,Active,"2066-10-21 00:00:00",Male,"Civil Engineering",NULL,Colonel,"US Marine Corps",2,683,0,0,"STS-127 (Endeavor), STS-135 (Atlantis)",NULL,NULL,Endicott,NY,USA,"Tulane University",
"Rick D. Husband",1995,15,Deceased,"2057-07-12 00:00:00",Male,"Mechanical Engineering","Mechanical Engineering",Colonel,"US Air Force",2,617,0,0,"STS-96 (Discovery), STS-107 (Columbia)",2/1/03,"STS-107 (Columbia)",Amarillo,TX,USA,"Texas Tech University","California State University"
"James B. Irwin",1966,5,Deceased,"2030-03-17 00:00:00",Male,"Naval Sciences","Aeronautical Engineering",Colonel,"US Air Force (Retired)",1,295,3,20,"Apollo 15",8/8/91,NULL,Pittsburgh,PA,USA,"US Naval Academy","University of Michigan"
"Marsha S. Ivins",1984,10,Retired,"2051-04-15 00:00:00",Female,"Aerospace Engineering",NULL,Non-Military,Non-military,5,1341,0,0,"STS-32 (Columbia), STS-46 (Atlantis), STS-62 (Columbia), STS-81 (Atlantis), STS-98 (Atlantis)",NULL,NULL,Baltimore,MD,USA,"University of Colorado",
"Gregory B. Jarvis",NULL,NULL,Deceased,"2044-08-24 00:00:00",Male,"Electrical Engineering","Electrical Engineering",Non-Military,Non-military,1,0,0,0,"STS 51-L (Challenger)",1/28/86,"STS 51-L (Challenger)",Detroit,MI,USA,"State University of New York at Buffalo","Northeastern University"
"Mae C. Jemison",1987,12,Retired,"2056-10-17 00:00:00",Female,"Chemical Engineering",Medicine,Non-Military,Non-military,1,190,0,0,"STS-47 (Endeavor)",NULL,NULL,Decatur,AL,USA,"Stanford University","Cornell University"
"Tamara E. Jernigan",1985,11,Retired,"2059-05-07 00:00:00",Female,Physics,"Engineering Science; Astronomy",Non-Military,Non-military,5,1489,1,8,"STS-40 (Columbia), STS-52 (Columbia), STS-67 (Endeavor), STS-80 (Columbia), STS-98 (Discovery)",NULL,NULL,Chattanooga,TN,USA,"Stanford University","University of California-Berkeley; Rice University"
"Brent W. Jett",1992,14,Retired,"2058-10-05 00:00:00",Male,"Aerospace Engineering","Aeronautical Engineering",Captain,"US Navy (Retired)",4,1002,0,0,"STS-72 (Endeavor), STS-81 (Atlantis), STS-97 (Endeavor), STS-115 (Atlantis)",NULL,NULL,Pontiac,MI,USA,"US Naval Academy","US Naval Postgraduate School"
"Gregory C. Johnson",1998,17,Management,"2054-07-30 00:00:00",Male,"Aerospace Engineering",NULL,Captain,"US Navy (Retired)",1,309,0,0,"STS-125 (Atlantis)",NULL,NULL,Seattle,WA,USA,"University of Washington",
"Gregory H. Johnson",1998,17,Active,"2062-05-12 00:00:00",Male,"Aeronautical Engineering","Flight Structures Engineering; Business Administration",Colonel,"US Air Force (Retired)",2,755,0,0,"STS-123 (Endeavor), STS-134 (Endeavor)",NULL,NULL,London,,England,"US Air Force Academy","Columbia University; University of Texas"
"Thomas D. Jones",1990,13,Retired,"2055-01-22 00:00:00",Male,NULL,"Planetary Science",Non-Military,Non-military,4,1272,3,20,"STS-59 (Endeavor), STS-68 (Endeavor), STS-80 (Columbia), STS-98 (Atlantis)",NULL,NULL,Baltimore,MD,USA,"US Air Force Academy","University of Arizona"
"Janet L. Kavandi",1995,15,Management,"2059-07-17 00:00:00",Female,Chemistry,Chemistry,Non-Military,Non-military,3,812,0,0,"STS-91 (Discovery), STS-99 (Endeavor), STS-104 (Atlantis)",NULL,NULL,Springfield,MO,USA,"Missouri Southern State College","University of Missouri; University of Washington"
"James M. Kelly",1996,16,Management,"2064-05-14 00:00:00",Male,"Astronautical Engineering","Aerospace Engineering",Colonel,"US Air Force (Retired)",2,641,0,0,"STS-102 (Discovery), STS-114 (Discovery)",NULL,NULL,Burlington,IA,USA,"US Air Force Academy","University of Alabama"
"Mark E. Kelly",1996,16,Retired,"2064-02-21 00:00:00",Male,"Marine Engineering & Nautical Science","Aeronautical Engineering",Captain,"US Navy (Retired)",4,1298,0,0,"STS-108 (Endeavor), STS-121 (Discovery), STS-124 (Discovery), STS-134 (Endeavor)",NULL,NULL,Orange,NJ,USA,"US Merchant Marine Academy","US Naval Postgraduate School"
"Scott J. Kelly",1996,16,Active,"2064-02-21 00:00:00",Male,"Electrical Engineering","Aviation Systems",Captain,"US Navy (Retired)",4,12490,3,18,"STS-103 (Discovery), STS-118 (Endeavor), ISS-25,26 (Soyuz), ISS-43,44,45,46 (Soyuz)",NULL,NULL,Orange,NJ,USA,"State University of New York Maritime College","University of Tennessee-Knoxville"
"Joseph P. Kerwin",1965,4,Retired,"2032-02-19 00:00:00",Male,Philosophy,Medicine,Captain,"US Navy (Retired)",1,672,1,3,"Skylab 2",NULL,NULL,"Oak Park",IL,USA,"College of the Holy Cross","Northwestern University"
"Susan L. Kilrain (Still)",1995,15,Retired,"2061-10-24 00:00:00",Female,"Astronautical Engineering","Aerospace Engineering",Commander,"US Navy (Retired)",2,472,0,0,"STS-83 (Columbia), STS-94 (Columbia)",NULL,NULL,Augusta,GA,USA,"Embry-Riddle University","Georgia Institute of Technology"
"Robert Shane Kimbrough",2004,19,Active,"2067-06-04 00:00:00",Male,"Aerospace Engineering","Operations Research",Colonel,"US Army",3,3720,4,25,"STS-126 (Endeavor), ISS-49,50 (Soyuz)",NULL,NULL,Killeen,TX,USA,"US Military Academy","Georgia Institute of Technology"
"Timothy L. Kopra",2000,18,Active,"2063-04-09 00:00:00",Male,"Computer Science","Aerospace Engineering; Strategic Studies",Colonel,"US Army (Retired)",2,5857,3,13,"STS-127,128 (Endeavor,Discovery), ISS-46,47 (Soyuz)",NULL,NULL,Austin,TX,USA,"US Military Academy","Georgia Institute of Technology; US Army War College"
